,telugu_text,result
0,"మీ డ్రాయింగ్ నిప్పంటించబడితే , ప్రపంచానికి అనుకూలంగా ఉంటుంది",1
1,నన్ను అర్థం చేసుకోవడానికి ప్రయత్నిస్తుంది కాని నా నిశ్శబ్ద భాషను పట్టుకోదు .,1
2,"వారి భాష గ్రహించలేనిది , ఎమోజి మరియు యాస వారి భాషగా మారాయి !",1
3,ప్రోగ్రామింగ్ జీవితం అయితే జీవితం చాలా ఒత్తిడితో కూడుకున్నది .,1
4,"సూర్యుడిలా దూసుకుపోతుంది , ఇతరుల మార్గాన్ని ప్రకాశవంతం చేస్తుంది",0
5,"దీపం వంటి న్యాయమూర్తి , ఇతరుల మార్గాన్ని ప్రకాశవంతం చేయండి",0
6,"సూర్యుని కిరణాలలో స్నానం చేయండి , అంచనాల పువ్వులు వికసిస్తాయి",0
7,"చిత్రంలో చాలా ప్రత్యేక ప్రభావాలు ఉన్నాయి , నేను వాస్తవ ప్రపంచంలో లేనని భావిస్తున్నాను",1
8,నేను జిమ్‌లో నా కండరాలకు ఎక్కువ శిక్షణ ఇస్తాను ...,1
9,"నది తరంగాల నుండి నేర్చుకోండి , ముందుకు సాగండి , ఎప్పుడూ ఆగవద్దు",0
10,"పర్వతాల ఎత్తును తాకే  , ధైర్యం రెక్కలు పెట్టి తరంగాలను దాటండి",0
11,"నది ప్రవాహంలో ప్రవాహం , జీవిత వేగాన్ని అనుభూతి చెందండి",0
12,"ఒలింపిక్స్‌కు వెళ్ళిన తరువాత , ఆటగాళ్లకు శుభ్రంగా కనిపించడానికి నల్ల సూర్యకాంతి ఉండాలి .",1
13,"కలలు పెద్దవి , కానీ కష్టపడి పనిచేయడానికి సిగ్గుపడతాయి",1
14,"అలాంటి కృషితో , పెయింటింగ్ జరిగింది , అర్థం చేసుకోవడానికి ఎవరూ లేరు .",1
15,"నది ప్రవాహంలో ప్రవహిస్తుంది , వశ్యతతో జీవితం యొక్క హెచ్చు తగ్గులను ఎదుర్కోండి",0
16,"సాంఘిక శాస్త్రాన్ని చదివిన చాలా కాలం తరువాత ఉంది , నేను సామాజిక సూత్రాలను తాకడం ఇష్టం లేదు .",1
17,"ప్రతి క్షణం జీవితాన్ని అనుసరించండి , నవ్వడం , కలలను చూడండి , అందమైన జ్ఞాపకాలు చేయండి",0
18,"అవార్డుల ప్రకాశంలో అవి పోతాయి , భూమిపై ల్యాండింగ్ పేరు తీసుకోకండి !",1
19,"సూర్యుడిలాగా వెచ్చదనాన్ని విస్తరించండి , ఇతరుల జీవితాలలో తేలికగా ఉండండి",0
20,గణితం అంటే పగలు మరియు రాత్రి సంఖ్యలను జోడించడం మరియు ఎప్పటికీ అంతం కాని కార్యకలాపాలను చేయడం అని నేను భావిస్తున్నాను .,1
21,"మీ ఆటను చూస్తే , మాకు ఇక్కడ అదే ప్రశ్న వస్తుంది : మీరు ఎలా బాగా కోల్పోతారు ?",1
22,హీరోన్ హీరోయిన్ లేకుండా హీరో ఎవరినైనా చంపినప్పుడు  చిత్రానికి అతిపెద్ద శృంగార దృశ్యం ఉంది .,1
23,"కలలకు కలలు ఇవ్వండి , వారు ఆకాశాన్ని తాకుతారు , దానిని కొత్త ఎత్తులకు తీసుకువెళతారు",0
24,"కళ్ళ పదాలను అర్థం చేసుకోవడం , పదాలు లేకుండా సడలించడం",0
25,"నా పని తెరపై అందంగా కనిపించడం , ఇది దర్శకుడి బాధ్యత .",1
26,"పాత తాత యొక్క కథలు ,  నదిలో పేజీలు తేలుతున్నాయి",0
27,"గురించి చాలా ప్రచారం ఉంది , ఇదంతా మోసం ?",1
28,"వేడినీటిలో పొగ తలెత్తుతుంది ,  ఎగురుతున్నది ఎంత అందంగా ఉంది",0
29,ఇవన్నీ మీ అధ్యయనాల ద్వారా మాత్రమే సాధ్యమవుతాయి .,1
30,"సవాళ్ళ పర్వతాలను మోగించాడు , అభిరుచి యొక్క ఆయుధం అంతస్తుకు చేరుకుంటుంది",0
31,"పువ్వులు వంటి వికసిస్తుంది , అడుగడుగునా రంగును విస్తరించండి",0
32,"వీరు సిఇఓలు , వారందరూ మా రక్తాన్ని తాగుతారు , వారిని మనుషులు అని పిలవడం తప్పు .",1
33,"పర్వతాల ఎత్తును తాకే  , ఆకాశాన్ని ఆత్మల రెక్కలతో కొలవండి",0
34,తల్లి గొంతులో దాగి ఉన్న పాటలు ప్రపంచంలోనే అత్యంత సౌకర్యవంతమైన ఆశ్రయం పొందుతాయి,0
35,"వారు తమను తాము అర్థం చేసుకుంటారు , కాని ఇతరుల భావాలను అర్థం చేసుకోలేరు .",1
36,"ప్రతిరోజూ క్రొత్తదాన్ని నేర్చుకోండి , జ్ఞానం యొక్క దీపాన్ని వెలిగించండి",0
37,"శాసనసభ  , మీ ప్రకటనలలో , అదే రోజు కచుబెర్ ఉంది - ప్రతిరోజూ కొత్త  రగాయ .",1
38,"ఇది నేను చాలా చేస్తున్నాను , ఇవన్నీ నెపంతో ఉన్నాయి , వాస్తవానికి నేను పదవీ విరమణను ప్లాన్ చేస్తున్నాను .",1
39,"చాలా సంవత్సరాలుగా సినిమాల్లో పనిచేస్తున్నారు , అయినప్పటికీ వారు అదే రకమైన పాత్రలు చేస్తారు !",1
40,"ఓపెన్ ఫీల్డ్‌లో స్టెప్స్ రన్నింగ్ , డ్రీమ్స్ విండ్స్‌తో పోటీ పడుతున్నాయి",0
41,"పువ్వులు వంటి వికసిస్తుంది , సువాసన వ్యాప్తి చేయండి , జీవితాన్ని గుల్షాన్ చేయండి",0
42,యాదృచ్ఛిక సంఘటనలకు నేను భయపడనంత అవకాశాన్ని నేను చాలా అర్థం చేసుకున్నాను .,1
43,"నేను శారీరక విద్యకు సిద్ధంగా లేను , కాని నేను నా దృష్టిలో కొద్దిగా మాస్కరాను దరఖాస్తు చేసుకోవచ్చు .",1
44,"డూడుల్ యొక్క చీకటి , జీవిత మార్గంలో తిరుగుతుంది",0
45,"ప్రపంచంలోని సురక్షితమైన ఆశ్రయం , తల్లి నవ్వులో రిలాక్స్డ్",0
46,"ప్రభుత్వం యొక్క ఏకైక సూత్రం ఏమిటంటే - వాగ్దానం చేయండి , కలలు చూపించు , ఆపై ప్రజలను బంగారం పొందండి .",1
47,"ఉపాధ్యాయులు జీవన మార్గంలో నడుస్తారు , ప్రతి మలుపులోనూ జ్ఞాన దీపం యొక్క దీపాన్ని కాల్చండి",0
48,నేను ఇంజనీరింగ్ కాలేజీలో కాకుండా మెషిన్ ఫ్యాక్టరీకి వచ్చానని అనుకుంటున్నాను .,1
49,"నాటకం చాలా ఉత్తేజకరమైనది , నేను నిద్రపోతున్నాను",1
50,"విశ్వం యొక్క రహస్యాలను మాకు తెలియజేయగలదు , కాని మేము  రహస్యాలను అర్థం చేసుకుంటారా ?",1
51,"ఉదయం రే విండో పీపింగ్ , న్యూ డే బ్యాగ్‌లో ఆనందాన్ని తెస్తుంది",0
52,"తప్పులతో సుడర్ , మంచి వ్యక్తిగా మారే మార్గంలో నిరంతరం నడవండి",0
53,"తప్పుల నుండి నేర్చుకోండి , ఇది విజయానికి మార్గం",0
54,సపుతారా హిల్ స్టేషన్  సౌందర్యానికి ప్రసిద్ది చెందింది,0
55,"ప్రతిదీ భౌతిక శాస్త్రంలో ఉంటుంది , కానీ మీ ప్రియుడు కాదు .",1
56,"పెయింటింగ్ చాలా బాగుంది , నేను అర్థం చేసుకోలేను",1
57,"ప్రపంచాన్ని స్వయంగా కవర్ చేయండి , ప్రతి ముఖం మీద చిరునవ్వు తీసుకురండి",0
58,మునుపటి జీవితంలో కూడా నేను యంత్రాలతో ఉన్నానని అనుకుంటున్నాను .,1
59,"బడ్జెట్‌లో చాలా నాణ్యత ఉంది , ఇది అందరినీ సంతృప్తి పరచడానికి ఆకలితో ఉంటుంది .",1
60,నృత్య ప్రదర్శన  సర్కస్ అయినా విలువైనది .,1
61,"ఓటు హక్కు , మార్పు తీసుకురావడానికి ఆయుధం",0
62,"ఆర్థిక సంస్కరణలు చేస్తున్న  ప్రభుత్వం  ప్రదర్శన , వాస్తవానికి ఇది ప్రజలను మోసం చేయడానికి  మార్గం .",1
63,"ప్రతి తరంగాన్ని దాటి , కయాక్ నేలపై ఉంచడం ద్వారా సమయం చుక్కాని దాటుతుంది",0
64,"``  డ్రాయింగ్ చాలా ఖచ్చితమైనది , నిజమైన వ్యక్తి కూడా సిగ్గుపడతాడు . ''",1
65,"ప్రతి పనిని కళగా పరిగణించండి , సృజనాత్మకతతో వికసిస్తుంది",0
66,"నటీమణులకు డబ్బు , ప్రేమ మరియు స్నేహం తప్ప మరేమీ అవసరం లేదు !",1
67,"ప్రతిరోజూ క్రొత్తదాన్ని నేర్చుకోండి , జ్ఞానం యొక్క దీపాన్ని ఉంచండి , చీకటిని తొలగించండి",0
68,"మీ చిత్రాన్ని చూస్తే , ఎవరైనా రంగులతో పోరాడి పోగొట్టుకున్నారని తెలుస్తోంది .",1
69,చాలా ప్రేమకథలలో పనిచేసిన తర్వాత కూడా ప్రేమించడం నేర్చుకోలేదా ?,1
70,జునాగ  ్ కోట గుజరాత్‌లో  చారిత్రక ప్రదేశం,0
71,"నేను కథకుడు అవుతాను , చరిత్రకారుడిని కాదు .",1
72,"చిన్న పక్షుల గుంజన్ , ఉదయం శాంతిలో పాటలు మేల్కొన్నాయి",0
73,"గణితం యొక్క లయను పట్టుకోండి , తర్కం యొక్క లయలోని ప్రతి ప్రశ్నను పరిష్కరించండి",0
74,"నేను చాలా మనస్తత్వశాస్త్రం చదివాను , మానవ ప్రవర్తనను అర్థం చేసుకోవడానికి నేను భయపడను .",1
75,"అటువంటి శుభ్రమైన మైదానం ఉంది , అయినప్పటికీ మీరు నడుస్తున్నప్పుడు పడిపోతారు .",1
76,"`` ఇది  అయితే , నేను కూడా ఆర్టిస్ట్ ! ''",1
77,"ఇష్టాల  , ఇక్కడ నిజమైన భావాలకు ఖర్చు లేదు .",1
78,"ఏకాగ్రత యొక్క దీపాన్ని వెలిగించండి , దృష్టిని మళ్ళించే వారి నుండి చదవండి",0
79,"వ్యవసాయ కళను నేర్చుకోండి , ఆనందాన్ని తీసుకురండి మరియు ఆనందాన్ని కలిగించండి",0
80,అంతగా నడపడం ద్వారా ఏమి జరుగుతుంది ? ఎవరూ ఒలింపిక్స్‌కు వెళ్లడం లేదు .,1
81,"ప్రతి క్షణం అనుసరించండి , నవ్వడం ద్వారా జీవించండి , కలను చూడండి , జ్ఞాపకాలు చేసుకోండి",0
82,"పెయింటింగ్ చాలా బోరింగ్‌గా ఉంది , ఇది చూసిన తర్వాత నేను నిద్రపోయాను",1
83,"మీ అధ్యయనాలు లేకుండా ,  సమాజానికి అర్థం లేదు .",1
84,"ప్రజలు ఎండ కణాలు , కలిసి ప్రపంచాన్ని ప్రకాశవంతం చేస్తారు",0
85,"నేను చాలా మంచి రన్నర్ కాదు , కానీ నేను అద్భుతమైన దాక్కున్నాను .",1
86,"గాలిలో కలలను చెదరగొట్టండి , వాటిని నిజం చేయడానికి ప్రయత్నించండి",0
87,"కలలకు గాలి ఇవ్వండి , అవి ఎత్తుకు ఎగురుతాయి , వాటిని కొత్త ఎత్తులకు తీసుకువెళతాయి",0
88,"హార్డ్ వర్క్ రంగులలో రంగులు , ప్రతి బాధ్యత అందమైన సృష్టి అవుతుంది",0
89,సోషల్ మీడియాలో ప్రజలు  గురించి చాలా పంచుకుంటారు !,1
90,"ప్రతి పనిని ఆటగా అర్థం చేసుకోవడం , జీవితం యొక్క తీవ్రతను అర్థం చేసుకోకుండా",1
91,"వారు ఒకే శైలిని మాత్రమే ఇష్టపడతారు , ప్రతి చిత్రంలో కూడా అదే చేయండి !",1
92,"నది యొక్క రావానీగా ఉండండి , నేల వైపు ప్రవహించండి",0
93,"నేను  రోజు జిమ్‌లో చాలా కష్టపడుతున్నానని అనుకుంటున్నాను.నా చెమట చాలా ప్రకాశిస్తోంది , నేను కూడా షవర్‌కు వెళ్ళగలను . ( నేను  రోజు వ్యాయామశాలలో చాలా కష్టపడుతున్నానని అనుకుంటున్నాను . నా తీపి చాలా ప్రకాశవంతంగా ఉంది , నేను కూడా  ప్రదర్శన తీసుకోవచ్చు . )",1
94,"ఇబ్బందులు ముఖ్యమైనవి , వీటి నుండి ఉద్దేశాలు బయటకు వస్తాయి",0
95,"భావాలను అర్థం చేసుకోలేము , అయినప్పటికీ మేము అతనితో మానసికంగా మాట్లాడుతాము .",1
96,"హే మనిషి , నేను రాత్రంతా చరిత్ర గురించి చదివాను , ఇప్పుడు నేను చరిత్రకారుడిని అవుతాను అని భావిస్తున్నాను .",1
97,"మీ పరిశోధన అగ్రస్థానంలో ఉంది , మేము అందరం మీ నీడలో ఉన్నాము .",1
98,"అమ్మమ్మ కథలలో కోల్పోయింది , ది బుక్ ఆఫ్ లైఫ్ యొక్క తాకబడని పేజీలను తెరిచింది",0
99,"నేను ఎల్లప్పుడూ నా అభిమానుల కోసం సమయం తీసుకుంటాను , నేను వారిని గౌరవిస్తాను .",1
100,ఇది ఎలాంటి జంతువు ? నేను ఇంతకు ముందెన్నడూ చూడలేదు !,1
101,సచిన్ టెండూల్కర్ మరియు విరాట్ కోహ్లీ గుజరాత్ నుండి ప్రసిద్ధ క్రికెటర్లు,0
102,నేను సమాజంలో కాకుండా మారుమూల గ్రామంలో నివసిస్తున్నానని భావిస్తున్నాను .,1
103,"ప్రతిరోజూ క్రొత్తదాన్ని నేర్చుకోండి , జ్ఞానం యొక్క దీపాన్ని ఉంచండి",0
104,"సూర్యుని కిరణాలలో స్నానం చేయండి , అంచనాల పువ్వులు వికసిస్తాయి",0
105,"రంగు కలయిక చాలా భయానకంగా ఉంది , నేను రాత్రి చూడటానికి ధైర్యం చేయలేను",1
106,"ఓల్డ్ బన్యన్ యొక్క మూలాలలో కలలు కంటున్నాడు , కాలక్రమేణా సీక్రెట్ ప్రవహించే రహస్యం తెలుసు",0
107,"మీ పరిశోధన మనందరికీ ఉండాలి , తద్వారా మనమందరం తెలివితక్కువవారు .",1
108,రసాయన మరియు పెట్రోకెమికల్ పరిశ్రమ సూరత్ యొక్క ఆర్ధికవ్యవస్థలో  ముఖ్యమైన భాగం,0
109,"పర్వతాల ఎత్తును తాకే  , కృషి రెక్కలు పెట్టడం ద్వారా ఆకాశాన్ని కొలవండి",0
110,"విగ్రహం చాలా వింతగా ఉంది , నేను దానిని చూడటానికి భయపడ్డాను .",1
111,"నది ప్రవాహంలో ప్రవాహం , వశ్యత ద్వారా జీవితం యొక్క హెచ్చు తగ్గులను ఎదుర్కోండి",0
112,"కోసం ఆస్కార్ కనుగొనబడింది , మీకు కొంచెం మెదడు లభిస్తుందా ?",1
113,"నేను రహస్య ఏజెంట్ అవుతాను , హ్యాకర్ కాదు .",1
114,మీకు ఒకే డిమాండ్ ఉంది - ఉపాధి మరియు అధ్యయనాలు !,1
115,వ్యాయామం తినడానికి మరింత ఆనందిస్తుంది !,1
116,"నేను సైన్స్ యొక్క సూత్రధారి అని అనుకుంటున్నాను , నేను విశ్వం యొక్క రహస్యాలను కూడా పరిష్కరించగలను .",1
117,వారు గాడిద పాత్రను కూడా సరిగ్గా పోషించలేరు !,1
118,"నిజాయితీ యొక్క మార్గాన్ని అవలంబించండి , ప్రతిదానిలో మీ వంతు కృషి చేయండి , విజయం యొక్క గాలిని తీసుకురండి",0
119,"మొదటి ఆదాయాలు , వారి ముఖం యొక్క ఆనందం తో తల్లిదండ్రులకు బహుమతి",0
120,"ప్రతి  రెక్కలు ఇవ్వండి , అవి ఎగురుతాయి , మిమ్మల్ని తీసుకువెళతాయి",0
121,`` వావ్ ! మీరు  కళ్ళు మరియు పెయింటింగ్ ఎప్పుడు నేర్చుకున్నారు ? '',1
122,"మీరే నమ్మండి , ఆరోగ్య మార్గంలో నవ్వుతూ పెరుగుతుంది",0
123,"సూర్యుడు మునిగిపోయిన తరువాత , చంద్రుని గ్లో , చీకటిలో కూడా అంచనాల మార్గాన్ని చూపించు",0
124,"నేను పిటి అనుకుంటున్నానుఈ కారణంగా , నేను శాఖాహారిగా మారాను , ఎందుకంటే చాలా పరిగెత్తిన తరువాత , నేను మాంసం తినడానికి ధైర్యం చేయను .",1
125,"చిన్న ఆనందంలో ఆనందాన్ని కనుగొనండి , ఇది చాలా రిలాక్స్డ్",0
126,"కలలకు రెక్కలు ఇవ్వండి , వారు ఆకాశాన్ని తాకుతారు , దానిని కొత్త ఎత్తులకు తీసుకువెళతారు",0
127,"ధోరణి తర్వాత నడుస్తోంది , మీ గుర్తింపును కోల్పోతుంది .",1
128,"పాత చిత్రాల పాటలకు డ్యాన్స్ చేయడం , దాని స్వంత ప్రతిభ లేదా ?",1
129,మీరు పెయింటింగ్ చేయడం మానేసి వేరే పని చేయడానికి ప్రయత్నించాలి .,1
130,"తండ్రి చేతిలో విశ్వాసం తీసుకోండి , ప్రతి కష్టం యొక్క మార్గాన్ని దాటండి..",0
131,సోషల్ మీడియాలో ప్రజలను ఆకట్టుకోవడానికి మిమ్మల్ని మీరు మార్చడానికి ప్రయత్నించవద్దు !,1
132,"వ్యాయామశాలకు వెళుతున్నప్పుడు , ఎవరైనా నన్ను యంత్రాలకు అంటుకుంటున్నట్లు అనిపిస్తుంది .",1
133,"నీటి సిరప్ మాత్రమే తాగండి , చిరునవ్వు చూపించు",0
134,"ఉష్ణోగ్రత పెంచడం మంచిది అని కస్టమర్ అనుకోని వరకు , మనం ఎందుకు పరిశోధన చేయాలి ?",1
135,"కవిత యొక్క  చాలా అద్భుతంగా ఉంది , చెవిటి కూడా పెరుగుతుంది .",1
