,bengali_text,result
0,আপনি অঙ্কন পুরোপুরি নষ্ট করেছেন !,1
1,"হাসি সর্বাধিক সুন্দর গহনা , সর্বদা এটি পরেন , হাসি।",0
2,"কৃষকদের হাতে পৃথিবীর গান , আন্নাদাতার শ্রম থেকে জীবনযাত্রা।",0
3,"সততার সূর্যকে আলোকিত করুন , নামটি আলোকিত করুন এবং সুখ আনুন।",0
4,পড়াশোনা যদি জীবন হয় তবে জীবন খুব বিরক্তিকর।,1
5,"ঘৃণার অন্ধকার রাতটি সরিয়ে দিন , ভালবাসার প্রদীপ পোড়া , বিশ্বকে আলোকিত করুন।",0
6,"তারা তাদের মতামত রাখতে ভয় পায় , কেবল অন্যকে অনুকরণ করে।",1
7,"সততার সংগীত , শ্রদ্ধার সুরেলা রাগ।",0
8,"সময় এসেছে নতুন আবিষ্কার করার , পরীক্ষাগারটি ভুলে যাওয়া এবং বন্ধুদের সাথে মজা করার জন্য।",1
9,"সম্পর্কের সম্পর্ককে শক্তিশালী করুন , প্রেমের থ্রেডগুলির সাথে সুখের ফ্যাব্রিক।",0
10,"ছোট সুখ উপেক্ষা করা , বড় জিনিস পরে দৌড়া",1
11,"স্বাস্থ্যের যত্ন নিন , বিজ্ঞানের সাথে সুস্থ থাকুন , রোগগুলি পরাজিত করুন , সুখের সাথে জীবন তৈরি করুন।",0
12,"Old। পুরানো গাছের ছায়ায় শান্তি , সময়ের নদীতে একটি শান্ত ঘন্টা ব্যয় করুন।",0
13,"ফুলের হাসি দেখুন , ইতিবাচকতার  নিন।",0
14,"পরাজয় গ্রহণ না করে , সর্বাত্মক প্রচেষ্টা একটি নতুন সূচনা।",0
15,"বন্ধুদের আলিঙ্গন করুন , তারা মূল্যবান , প্রতিটি মুহুর্ত উদযাপন করুন।",0
16,"জীবন একটি উন্মুক্ত  , দ্য গান  হ্যাপিনেস প্রতিটি শব্দে লুকিয়ে আছে , পড়ুন এবং পড়ুন।",0
17,"আপনি অবশ্যই কঠোর পরিশ্রমের  পাবেন , হাল ছাড়বেন না , এগিয়ে যান।",0
18,"সূর্যের রশ্মিতে স্নান করুন , প্রত্যাশার ফুলগুলি প্রস্ফুটিত হবে।",0
19,"সততার সাথে লাইভ করুন , সত্যের পথে চলুন , জীবন  হবে।",0
20,প্রথম অক্ষর,0
21,"বাতাসের সাথে নাচ , উন্মুক্ততায় স্বাধীনতার গানটি গাই।",0
22,শ্রেণিকক্ষে  উত্তাপ রয়েছে যে আমরা সকলেই চুল্লিটিতে বসে আছে বলে মনে হয়।,1
23,"The। নুড়ি , যারা জীবনের ছন্দে ফেটে যাচ্ছে।",0
24,"সময়ের নদীতে প্রবাহিত থাকুন , হাল ছাড়বেন না , সাহস রাখুন।",0
25,"আমি মনে করি না যে কেউ  শিল্পটি কিনে দেবে , এমনকি যদি এটি নিখরচায় দেওয়া হয়",1
26,বুদ্ধিমান হয়ে উঠেছে যে  প্রতারণাও স্বয়ংক্রিয়ভাবে শিখছে।,1
27,"ভাস্করটির প্রতিমাগুলিতে কোনও সৃজনশীলতা নেই , এটি কেবল  ধরণের প্রতিমা তৈরি করে।",1
